,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3)
46,acscombsci.5b00188_5020072_clean,1.52e-07,2.46e-08,6,2,4.62905051,0.717826048,429.6174282
47,acscombsci.5b00188_5024922_clean,2.52e-07,3.02e-08,6,2,5.028557323,1.180756022,295.0160565
48,acscombsci.5b00188_5036495_clean,1.7e-07,2.65e-08,6,2,5.012326636,0.870730517,338.3863274
49,acscombsci.5b00188_5040209_clean,4.68e-08,6.92e-09,6,2,6.664912478,1.157296233,1046.355439
50,acscombsci.5b00188_8372_clean,7.45e-08,3.2e-10,6,2,11.3882281,1.553035999,958.9444683
51,ACUBAB_clean,6.85e-08,1.26e-08,6,2,3.547601797,0.118777203,2309.76371
52,ACUFEK_clean,9.15e-08,1.73e-08,6,2,7.407723996,1.282797079,559.4252702
53,ACUJOZ_manual,1.17e-07,1.53e-08,6,2,10.4612225,0.651955564,694.2844869
54,ACUTOI_clean,1.66e-08,7.2e-09,6,2,3.450440418,0.045728283,1719.930296
55,ADABUE_clean,4.11e-09,6.09e-10,6,2,1.8715388,0.08517413,1466.304131
56,ADARAA_clean,7.97e-08,6.6e-09,6,2,7.047127976,1.503188942,881.9265145
57,ADASEF_clean,1.6e-07,1.68e-08,6,2,5.447313803,2.023566198,435.6029957
58,ADASIJ_clean,9.61e-08,5.93e-09,6,2,10.89436062,1.860890444,629.2477411
59,ADASOP_clean,9.02e-08,4.73e-09,6,2,11.20550872,1.913549831,631.679137
60,ADASUV_clean,9.32e-08,3.34e-09,6,2,11.38467289,2.238205827,625.690608
61,ADATAC_clean,1.82e-07,1.71e-08,6,2,5.819748684,2.150581244,337.282717
62,ADATEG_manual,2.81e-07,4.8e-08,6,2,4.106542247,1.084359561,238.7733928
63,ADATIK_clean,2.25e-07,1.78e-08,6,2,4.42427605,1.879657392,377.5735272
64,ADAXEK_clean,1.42e-08,5.3e-09,6,2,7.568233896,0.574233804,1263.420338
65,ADAXIO_clean,1.37e-08,3e-09,6,2,6.230641076,0.195160598,1280.607286
66,ADIQEL_clean,2.55e-08,5.03e-09,6,2,5.72971239,0.457378446,1237.619928
67,ADOBIF_clean,7.07e-09,1.13e-09,6,2,9.20176947,1.144552505,1588.726486
68,ADOCEC_clean,1.6e-08,1.32e-09,6,2,8.598083642,0.590351718,1535.426787
69,ADOGEH_clean,3.57e-08,5.95e-09,6,2,11.71324055,1.009645885,1019.907608
70,ADUROI_clean,3.73e-07,5e-08,6,2,2.761868064,0.441200763,402.5791642
71,ADUWIH_clean,6.94e-08,1.26e-08,6,2,9.3864369,0.403034266,722.1518464
72,ADUWON_clean,1.05e-07,1.63e-08,6,2,9.097668023,0.941575446,521.2423379
73,AFEJOK_ion_b,4.04e-08,7.94e-09,6,2,2.102337144,1.740362485,1101.287011
74,AFITEP_clean,3.9e-08,9.34e-09,6,2,6.648955825,0.532572462,1069.309637
75,AFITUF_clean,3.46e-08,6.52e-09,6,2,4.179496258,0.401338032,1322.884726
76,AFIXAO_clean,1.94e-08,6.21e-09,6,2,1.16690238,0.277729849,1122.212256
77,AFIXES_clean,2.26e-08,6.79e-09,6,2,1.165254679,0.27353992,1125.722502
78,AFOVEX_clean,4.07e-08,1.09e-08,6,2,8.945233015,0.486291508,1022.053947
79,AFOYAW_clean,3.69e-08,8.16e-09,6,2,2.614173701,0.382068374,978.1052232
80,AFOYEB_clean,4.18e-08,1.53e-08,6,2,3.583271465,0.011881019,1682.250539
81,AFOYIE_clean,5.17e-08,1.45e-08,6,2,1.662947094,0.343500288,761.8732935
82,AFOYOK_clean,4.94e-08,1.07e-08,6,2,1.69612037,0.314085359,979.4296205
83,AFUKET_clean,3.18e-08,6.99e-09,6,2,7.900498321,0.41451076,959.6904501
84,AFUKIX_clean,5.92e-08,1.24e-08,6,2,8.369198157,0.415428431,784.2839795
85,AGABIU_clean,7.75e-08,1.86e-09,6,2,7.171084105,2.522687848,647.1188468
86,AGIREP_clean,1.03e-07,8.26e-09,6,2,14.96500996,0.629095145,998.4664836
87,AGOFEJ_clean,1.14e-07,1.88e-08,6,2,4.36858964,0.960078283,583.6666994
88,AGONAM_clean,5.32e-08,1.69e-08,6,2,7.861513444,0.054755577,1437.681334
89,AGONEQ_clean,9.57e-08,6.37e-09,6,2,13.91045641,0.525881779,1082.535661
90,AGUBUA_clean,2.15e-08,3.15e-09,6,2,3.620517874,3.347657174,1833.358099
91,AGUWUV_clean,9.96e-09,1.92e-09,6,2,4.612055466,0.191757984,1512.112665
92,AHAMAY_clean,4.45e-08,1.69e-08,6,2,2.193849089,0.056320956,2250.167934
93,AHEQAH_clean,6.46e-08,7.59e-09,6,2,7.301605028,1.265696836,759.2789469
94,AHIYOH_clean,1.13e-08,4.28e-09,6,2,6.127907165,0.475685891,1425.451654
95,AHOKIR_clean,3.15e-08,1.6e-09,6,2,3.813035355,0.205896062,1882.073273
96,AHOKIR01_clean,5.05e-08,1.95e-09,6,2,4.236537557,0.192046565,1927.016825
97,AHOKOX_clean,4.18e-08,3.64e-09,6,2,4.286090847,0.181267581,1739.666291
98,AJAKON_clean,2.26e-08,5.78e-09,6,2,6.662612552,1.008400704,1367.21697
99,AJAYIT_clean,2.3e-08,7.18e-09,6,2,3.761500884,0.012209764,1983.921103
100,AJIGIL_clean,2.84e-08,8.1e-09,6,2,1.788795325,0.123099804,1089.863102
101,AJOTEY_clean,6.33e-08,1.29e-08,6,2,4.112368727,0.48144868,1255.608274
102,AJOVEB_clean,8.8e-09,1.05e-09,6,2,4.014531964,1.142442814,1956.514445
103,AKEDIF_clean,5.36e-08,1.58e-08,6,2,5.307347175,0.436367198,925.8710753
