,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3),a_H2(mol/(mm^2 bar s)),a_N2(mol/(mm^2 bar s)),P_H2(Barrer),P_N2(Barrer),Pu_ret_0.7,Pu_perm_0.7
1044,EDAFUM_clean,6.35e-09,1.33e-09,6,2,4.41137682,0.017318206,1773.032311,1.1037024800086297e-09,2.7225755075144606e-12,243463.78235484476,600.5681266576016,0.7216797274936294,0.9990544214583771
1045,EDAGAT_clean,4.77e-09,9.83e-10,6,2,4.135320414,0.016951486,1845.643519,8.090266960352748e-10,2.0503020979115207e-12,178461.7711842518,452.2725215981295,0.729732593465359,0.9990475989091055
1046,EDAGEX_clean,6.08e-09,1.57e-09,6,2,4.363748256,0.017013642,1794.450072,1.0579913889508442e-09,3.195487056377006e-12,233380.45344503914,704.8868506713984,0.7229694940808242,0.9988461556869066
1047,EDAPIK_clean_h,3.06e-08,5.87e-09,6,2,4.465336606,0.576978438,672.7449473,2.042742194982557e-09,1.518996840293838e-10,450604.8959520347,33507.28324177584,0.6976055555969766,0.9708997666340029
1048,EDATOT_clean,1.45e-07,8.24e-09,6,2,22.82367426,2.582164854,668.034018,4.912919264683314e-08,9.475856967640977e-10,10837321.907389663,209026.2566391392,0.04503688405769357,0.8804831500361245
1049,EDAVOV_clean,1.64e-08,8.37e-09,6,2,1.252419812,0.014891556,1631.986694,7.448998329593357e-10,1.3560974254685372e-11,164316.13962338286,2991.3913797100086,0.7317420005970081,0.9932424692758625
1050,EDOMAM_clean,5.81e-08,9.33e-09,6,2,7.167934393,0.675541378,809.7966325,7.494343703387077e-09,3.402658047376996e-10,1653164.0522177375,75058.63339802196,0.4269835157897026,0.9709661001008726
1051,EDOYOL_clean,1.05e-08,5.22e-09,6,2,3.441306259,0.030989174,1951.983255,1.5673868450087615e-09,2.1050641359529917e-11,345747.0981636974,4643.52382930807,0.7086987703758711,0.9947188388588759
1052,EDUSIF_clean,9.79e-08,1.7e-08,6,2,8.373281025,0.555148309,593.3939542,1.0809583546609947e-08,3.733445369442807e-10,2384466.9588110177,82355.41256123838,0.20029152343488946,0.9671063629726009
1053,EDUSOL_clean,1.53e-08,3.33e-09,6,2,4.695101197,0.461212634,2188.302604,3.4932627396491296e-09,2.2405856337153759e-10,770572.6631578963,49424.6830966627,0.6469880877828728,0.9719995180223806
1054,EDUSUR_clean,5.09e-08,1.17e-08,6,2,6.780436623,0.406218014,720.7407368,5.527668612734983e-09,2.2836673915519839e-10,1219338.6645738934,50375.01599011729,0.5487160314307188,0.9781824037604818
1055,EDUTIG_clean,3.64e-08,9.91e-09,6,2,7.92862784,0.436618266,712.9553246,4.572452680998059e-09,2.0565847580283888e-10,1008629.2678672188,45365.84025062622,0.5980755232685853,0.9782496219921556
1056,EDUVAA_clean,3.78e-08,8.33e-09,6,2,9.73140178,1.242056724,690.7713553,5.646625821093123e-09,4.764633420635107e-10,1245579.22524113,105102.20780812736,0.5503214299963978,0.9568588888866295
1057,EDUVEE_clean,3.65e-08,4.31e-09,6,2,9.220195944,1.384084013,815.1803084,6.096410207101105e-09,3.2419188802478285e-10,1344796.369213479,71512.91647605503,0.5185927838943613,0.9707408494175276
1058,EDUVOO_clean,1.45e-07,2.07e-08,6,2,6.180738251,1.108373595,373.4244433,7.437013719590892e-09,5.711734339001868e-10,1640517.7322626966,125994.13983092354,0.4372643594411247,0.9529993625017237
1059,EDUWAB_clean,3.98e-08,5.41e-09,6,2,11.56898959,5.858485103,347.383062,3.5544681536713095e-09,7.340066167499901e-10,784073.8574274947,161913.22428308605,0.6609411987602706,0.91846408200053
1060,EFAYEQ_clean_h,1.37e-07,2.74e-08,6,2,4.692587702,0.627093693,445.2193533,6.360547290941163e-09,5.099948271795695e-10,1403061.9024134919,112498.85893666976,0.5082476089170919,0.9560524417135648
1061,EFAYIU_clean,1.33e-07,2.72e-08,6,2,4.998444607,0.655527479,433.5936172,6.405556869123422e-09,5.154083225057407e-10,1412990.485836049,113693.0123174428,0.505557415528247,0.9557233257191681
1062,EFEGOM_clean,8.41e-08,2.44e-08,6,2,11.27108447,0.258142858,1119.882904,2.35896665180034e-08,4.702526981679435e-10,5203602.908383103,103732.212831164,0.04854085573430721,0.9435698972396624
1063,EFESEP_clean,1.41e-08,2.44e-09,6,2,10.54450447,1.153242275,910.2000763,3.0072507489171037e-09,1.7074814295610806e-10,663364.1357905376,37665.0315344356,0.6644262884443607,0.9759602240150672
1064,EFESOZ_clean,1.18e-08,2.07e-09,6,2,10.1687832,1.173831384,913.7343646,2.4364552564640987e-09,1.4801467018533549e-10,537453.3653964923,32650.294893824008,0.6843536938250094,0.9753714833987586
1065,EFIMOV_clean,5.52e-08,1.76e-08,6,2,4.676860844,0.060193161,1771.588086,1.0163511033361975e-08,1.2512131794656832e-10,2241950.963241612,27600.290723507722,0.23933641561088445,0.988785074105793
1066,EFOSUO_clean,1.05e-07,2.36e-08,6,2,0.392807306,0.088736478,2234.947157,2.0484416675182346e-09,3.1202557371918107e-10,451862.13254078705,68829.17067334877,0.7020584475210437,0.943099927111375
1067,EFOTAV_clean,1.22e-07,2.66e-08,6,2,0.389012877,0.088032289,2187.451175,2.3070109852404718e-09,3.4148429897948817e-10,508899.4820383393,75327.41889253416,0.6944910414300295,0.9437049658831528
1068,EFOTEZ_clean,1.04e-07,2.36e-08,6,2,0.281570819,0.058027187,2676.748062,1.7418709107488067e-09,2.4437667894368357e-10,384236.2303122368,53906.62035522431,0.7096939436760927,0.9481670572924777
1069,EGABAR_clean,3.46e-08,5.36e-09,6,2,6.638789822,0.047310824,2327.960995,1.1883057646284823e-08,3.9355890374356057e-11,2621262.7160922405,8681.446406107954,0.15126392999751712,0.9962367640399915
1070,EGATAI_clean,4.09e-08,4.17e-09,6,2,20.07635652,0.623102592,959.5558949,1.75091866110532e-08,1.6621669074813736e-10,3862320.575967618,36665.44648855971,0.055998443073083715,0.9813160190448307
1071,EGATEM_clean,2.18e-08,3.95e-09,6,2,7.170928026,1.029636778,847.9861678,2.9458329227589874e-09,2.2992100634190192e-10,649816.0859027178,50717.86904600778,0.6685782533717334,0.96759483674987
1072,EGATIQ_clean,2.66e-08,5.25e-09,6,2,7.390198388,0.976502804,815.9488406,3.5644140722822863e-09,2.7887171576825715e-10,786267.810062269,61515.81965476261,0.6458304963227682,0.9660327128694048
1073,EGATOW_clean,7.47e-08,3.02e-09,6,2,13.16740112,0.850108057,1208.220992,2.6409156535825398e-08,2.0679317118706087e-10,5825549.235843837,45616.14070302813,0.049233001182505745,0.9735398235762841
1074,EGEJIK_manual,4.4e-08,9.84e-09,6,2,9.263776989,1.078548671,680.6078148,6.164887924093862e-09,4.815490371058388e-10,1359901.7479618813,106224.05230275854,0.5195727346412443,0.9578722136090795
1075,EGEJOQ_clean,1.66e-08,3.5e-09,6,2,7.592343088,0.861335387,1250.073737,3.5011202747466185e-09,2.512376407420673e-10,772305.9429588129,55420.06781075014,0.6475412600968797,0.968837542276918
1076,EGEJUW_clean,1.19e-08,3.55e-09,6,2,8.133912955,0.531820111,1017.449224,2.188500816608105e-09,1.280603236878754e-10,482757.5330753172,28248.600813501926,0.6921407252370354,0.9766449577885806
1077,EGELUY_SL,1.17e-07,4.18e-08,6,2,10.28351787,0.128689584,950.4276619,2.541172359775652e-08,3.408375913371835e-10,5605527.264210997,75184.76279496695,0.048785918298838646,0.9575771317800426
1078,EGELUY01_manual,1.38e-07,4.12e-08,6,2,10.26630493,0.127634423,947.3867809,2.982689551006953e-08,3.321246402457037e-10,6579462.244868279,73262.78828949346,0.0485630334103197,0.9571270846468736
1079,EGIFUV_clean,3.48e-08,1.37e-08,6,2,1.05523425,0.30076478,1045.422706,8.531149202098011e-10,2.8717604822841324e-10,188187.11475216202,63347.65769744409,0.7359724632737873,0.8919435485726487
1080,EGOXII_clean,2.97e-08,7.11e-09,6,2,3.374805214,0.267638233,1732.66364,3.859285509010945e-09,2.1980661458665741e-10,851312.9799288849,48486.75321764502,0.6314106793119386,0.974280222148874
1081,EGOZAB_clean,3.55e-08,8.68e-09,6,2,8.078149007,0.286628202,1038.32914,6.617024481081575e-09,1.7221954118048578e-10,1459637.753179759,37989.60467216598,0.4811758958527655,0.9844623174765035
1082,EHALOP_manual,1.58e-07,4.26e-08,6,2,10.28935829,0.123942361,939.0066423,3.3923568291815597e-08,3.305268686854183e-10,7483140.064371088,72910.33868060699,0.048429991490355546,0.956359375931398
1083,EHIPOC_clean,2.74e-08,3.62e-09,6,2,0.384051292,0.057320858,1517.832874,3.54936967346973e-10,2.0996840476706333e-11,78294.91926771463,4631.65598750875,0.7419336621433245,0.9789919983815657
1084,EHUSUX_clean,3.45e-08,3.9e-09,6,2,9.233384966,2.172799846,797.5602947,5.645872279830489e-09,4.505641102299675e-10,1245413.0029037844,99389.14196249282,0.5494855193131133,0.9590153385029451
1085,EHUTAE_clean,3.49e-08,3.19e-09,6,2,8.065785279,2.417770914,725.6250353,4.539121708891138e-09,3.7310135895808117e-10,1001276.8475495157,82301.77035840026,0.6053326160442322,0.9616445518940809
1086,EJATIS_clean,2.32e-08,2.14e-09,6,2,3.446509715,1.019569482,2749.347884,4.885226161271112e-09,3.999162375710151e-10,1077623.4179274512,88216.81711125333,0.5890290353978427,0.9606936637390029
1087,EJAXIW_clean,4.9e-08,5.6e-09,6,2,7.990999059,1.14427321,942.49395,8.200932113568811e-09,4.0262901562690963e-10,1809029.1426990025,88815.22403534771,0.3777991798495263,0.966247038412342
1088,EJONOH_clean,1.1e-08,2.18e-09,6,2,4.466510605,0.172693537,1479.378216,1.6152054088059955e-09,3.7129622904420153e-11,356295.3107660284,8190.357993622092,0.7077050047252138,0.9909823866519647
1089,EJOQOL_clean,2.67e-08,3.59e-09,6,2,8.452008339,0.235469747,1290.846707,6.47341329828125e-09,7.27466465047955e-11,1427958.8157973345,16047.054376057831,0.4872428392056586,0.9932760400613675
1090,EJOQUR_clean,3.75e-08,4.15e-09,6,2,12.52870224,1.196235452,926.5507746,9.673732304337294e-09,3.066498314211008e-10,2133911.537721462,67643.34516641928,0.27143971943703965,0.9735368912390925
1091,EJORAY_clean,2.68e-08,3.39e-09,6,2,10.29588224,0.443877706,1338.906844,8.209868641265078e-09,1.3431426305250693e-10,1811000.4355731788,29628.14626158241,0.3717094408434172,0.988247157173949
1092,EJOZOU_clean,3.86e-08,4.03e-09,6,2,3.683861446,0.129052919,1262.546948,3.989565639652969e-09,4.377530247507887e-11,880051.2440410962,9656.31672244387,0.6198911229761347,0.9947964692683369
1093,EKADIF_clean,7.92e-08,2.46e-08,6,2,3.128118944,0.682027621,1184.056617,6.518811084555005e-09,1.3243972808997818e-09,1437973.0333577215,292146.4590220107,0.5254099874786482,0.90057042620321
1094,EKEKIQ_clean,3.69e-08,9.64e-09,6,2,3.963209394,0.175108929,1167.067805,3.792773952332988e-09,1.3133792642759288e-10,836641.3130146296,28971.601417851372,0.6313958473004994,0.9841593378223016
1095,EKEKOW_clean,2.7e-08,4.41e-09,6,2,6.481991826,1.01524557,1195.878355,4.651004233200196e-09,3.569483994387554e-10,1025956.816147102,78738.61752325487,0.5993250342871131,0.963687836886873
1096,EKEVAT_clean,1.02e-08,3.88e-09,6,2,2.063673047,0.193942841,1707.162474,7.985523751405581e-10,8.564244854625712e-11,176151.25922218192,18891.71659108613,0.7322080517210032,0.9618126390348317
1097,EKOKIA_clean,3.79e-08,8.92e-09,6,2,3.362944855,0.127345476,1403.835909,3.976150269507038e-09,1.0630983975685862e-10,877091.9712147879,23450.699946365872,0.6225448618137993,0.9875031863066889
1098,EKOPEA_clean,6.43e-08,1.04e-08,6,2,7.254927452,0.321391254,1207.401673,1.2516511604830465e-08,2.6904684751856983e-10,2760995.2069478966,59348.569305566874,0.12464371876738964,0.9744824355386812
1099,EKOPIE_clean,5.24e-08,4.9e-09,6,2,12.02501116,1.067850149,1215.245763,1.7016427075115737e-08,4.2391545390311507e-10,3753623.619510825,93510.76189039303,0.05600394842774068,0.9544006551270839
1100,EKOPOK_clean,5.53e-08,4.37e-09,6,2,7.706172743,0.337002436,1244.950002,1.1789713941802307e-08,1.2222924475576903e-10,2600672.1930446266,26962.333402007873,0.1542074970196501,0.9884815569067934
1101,EKOPUQ_clean,5.79e-08,5.62e-09,6,2,5.627168344,0.676528615,972.3638903,7.04019648901704e-09,2.464677211607581e-10,1552984.5196361118,54367.87966781428,0.45558650190882405,0.9783926665881225
1102,EKUPEG_clean,4.56e-08,1.14e-08,6,2,9.1363588,1.247045151,865.1927415,8.010107468399647e-09,8.199901538556583e-10,1766935.4709705103,180880.18099757168,0.40132158254316214,0.9355148730907578
1103,ELELEN_clean,3.48e-08,1.05e-08,6,2,1.338621139,0.284784127,915.7625156,9.47997674370489e-10,1.8255623998112892e-10,209117.13405231375,40269.758819366674,0.7307510438064164,0.9336875728925272
1104,ELEREU_clean,6.72e-08,4.59e-09,6,2,7.955470121,1.197120081,773.6439532,9.191020688602556e-09,2.8340028184750297e-10,2027431.0342505635,62514.76805459625,0.3045723173880978,0.9756602612053841
1105,ELERIY_clean,5.96e-08,4.23e-09,6,2,11.79390138,1.587433059,765.7023469,1.1960551794668437e-08,3.427713437080708e-10,2638357.013529802,75611.3258179568,0.1443662475211232,0.968447777958495
1106,ELEROE_clean,4.84e-08,2.94e-09,6,2,12.17277981,0.797770335,1005.180297,1.3160323994600002e-08,1.571729923655256e-10,2903012.645867647,34670.51302180711,0.10698333195903288,0.9845186985564197
1107,ELIJOZ_clean,1.91e-08,4.87e-09,6,2,6.883528439,0.106031538,1482.503841,4.331395008746654e-09,5.1035055376993956e-11,955454.7813411738,11257.732803748668,0.604459880992912,0.9942501676047086
1108,ELILER_clean,1.6e-08,4.16e-09,6,2,6.395671858,0.085879667,1636.959308,3.7224727391526243e-09,3.898794161976908e-11,821133.6924601377,8600.281239654945,0.631406793358193,0.9951407550304548
1109,ELOGUJ_clean,1.04e-08,1.29e-09,6,2,3.915203837,0.446266109,3138.084034,2.8394862659500106e-09,1.2043616743486554e-10,626357.2645477965,26566.80164004387,0.6691335842088039,0.9820781445730176
1110,ELOHOE_clean,9.74e-09,3.91e-09,6,2,4.420093451,0.417196365,1149.990532,1.1002013140235269e-09,1.250605340442088e-10,242691.46632871917,27586.882509751937,0.7250740689907338,0.9589524750463955
1111,ELOZEK_clean,2.11e-08,5.59e-09,6,2,0.078487886,0.00433712,2801.038624,1.030840969836555e-10,4.527318877359926e-12,22739.13904051224,998.6732817705721,0.7476638991293384,0.98452635798149
1112,EMAGAB_clean,2.02e-08,5.71e-09,6,2,1.342336439,0.149569184,1356.241773,8.1721692422746e-10,7.721898526203905e-11,180268.43916782207,17033.599690155672,0.7314923822579852,0.9661054925969238
1113,EMAMOW_clean,2.55e-08,6.86e-09,6,2,2.757933607,0.090935955,1118.326655,1.7477533770760903e-09,4.650901748588337e-11,385533.8331785493,10259.342092474273,0.7039041434970669,0.9894884239170714
1114,EMAMUC_clean,2.23e-08,5.75e-09,6,2,2.539273301,0.075321197,1222.70958,1.5385978121682577e-09,3.5303447173770784e-11,339396.57621358626,7787.525111861202,0.7099656217688656,0.9910458118237822
1115,EMAPAK_clean,1.95e-08,6.95e-09,6,2,1.0995905,0.239504657,925.4353271,4.4095995408553943e-10,1.0269601270798266e-10,97270.57810710429,22653.532214996176,0.7418403007808078,0.9231527962084922
1116,EMIYUW_clean,8.21e-08,2.01e-08,6,2,14.95397302,1.260410144,698.0062926,1.904349139217432e-08,1.1788974437702887e-09,4200770.1600384535,260050.90671403427,0.048049679118087586,0.8785023806499697
1117,EMIZAD_clean,1.34e-07,1.95e-08,6,2,8.589577662,1.981246656,382.1805874,9.775359068334769e-09,9.843522140066755e-10,2156329.2062503165,217136.51779559016,0.2667573702182892,0.9226713708554809
1118,EMOFIX_clean,1.09e-08,1.66e-09,6,2,3.303017662,0.05516525,1271.599235,1.017361124019522e-09,7.763055259976601e-12,224417.89500430634,1712.438660288956,0.7242197030135361,0.9971002066858096
1119,EMOHIZ_clean,1.44e-08,2.56e-09,6,2,3.306827992,0.065874213,1238.011469,1.310045113633997e-09,1.3918383992379545e-11,288980.5397722052,3070.2317630249,0.7161064612591344,0.9958887559497377
1120,EMUBIZ_clean,5.69e-08,7.17e-09,6,2,5.826518054,0.50981539,1372.290367,1.0110086325855871e-08,3.3441584985247646e-10,2230166.101291736,73768.2021733404,0.24274482746056014,0.9709662422638607
1121,EMUBOF_clean,3.43e-08,4.56e-09,6,2,10.33849065,1.117819168,1198.741732,9.446357343333458e-09,4.073528515953801e-10,2083755.296323557,89857.2466754515,0.2877319107237116,0.965519321820042
1122,ENAFAB_clean,1.23e-08,3.63e-09,6,2,5.564328277,0.925395324,2542.468513,3.8668820470065976e-09,5.693748105500788e-10,852988.6868396907,125597.38468016445,0.6425722381050049,0.9380317877103808
1123,ENANIS_clean,1.45e-08,3.06e-09,6,2,3.952063214,0.437775328,1337.336005,1.7030206274825377e-09,1.1943235247995726e-10,375666.3148858539,26345.37187057881,0.7073543994106927,0.9730884683936155
1124,ENCDBZ_clean,4.46e-08,7.8e-09,6,2,1.881136353,0.398877898,1359.463158,2.534603695370623e-09,2.819750995731706e-10,559103.7563317551,62200.38961172881,0.6849819943571025,0.9560762814554269
1125,ENCDBZ01_clean,5.02e-08,7.7e-09,6,2,1.624849609,0.233276912,1332.244983,2.4148405896429345e-09,1.595347577730227e-10,532685.4241859415,35191.490685225595,0.6854423534160662,0.9733504445158495
1126,ENCNBZ01_clean,6.56e-08,1.56e-08,6,2,2.431874533,0.570638634,1439.058463,5.101653146111315e-09,8.54029649795358e-10,1125364.6645833782,188388.8933372113,0.5934422489643197,0.9242462248335584
1127,ENEQUL_clean,3.66e-08,9.53e-09,6,2,4.983793428,0.258229085,967.9963291,3.9237589112146535e-09,1.5881097363236658e-10,865535.0539444088,35031.83241890439,0.6265884143454041,0.9813784464034019
1128,ENESOH_clean,8.78e-08,2.13e-08,6,2,2.822674879,0.45193477,639.1947846,3.520270879560648e-09,4.1020157410802884e-10,776530.3410795548,90485.6413473593,0.6518796326197859,0.9510088656407766
1129,ENESUN_clean,8.77e-08,2.2e-08,6,2,2.841620226,0.449676877,626.6819282,3.4705658249365745e-09,4.1331307943979427e-10,765565.9907948326,91172.00281760168,0.6539961195183782,0.950198415586737
1130,ENIHUG_clean,1.09e-07,1.03e-08,6,2,9.886257726,1.323521388,581.4796165,1.3924525583859468e-08,5.284591535983343e-10,3071586.525851353,116571.87211727962,0.0844484044349067,0.9489164760474414
1131,ENIHUG01_clean,1.01e-07,9.19e-09,6,2,9.978819468,1.336007914,585.0279844,1.3102816725457945e-08,4.788615024581396e-10,2890327.2188510173,105631.21377753078,0.10373660613393386,0.9548035221486513
1132,ENISOK_clean,8.83e-08,1.72e-08,6,2,7.665207191,1.124777511,1144.309945,1.7211382665125863e-08,1.4758678918729285e-09,3796628.5290718814,325559.0937954989,0.04916517966852638,0.858242719349619
1133,ENISUQ_clean,7.89e-08,1.63e-08,6,2,8.990504362,1.326536071,992.2467558,1.5641133871804436e-08,1.4303262093528859e-09,3450250.1187803904,315513.13441607775,0.054388633988989146,0.8675847544716865
1134,ENITAX_clean,8.03e-08,1.51e-08,6,2,8.040586196,1.554682638,573.0563464,8.222200634578688e-09,8.968602240260859e-10,1813720.7282158872,197836.8141234013,0.3867270378327049,0.9303058465611657
1135,ENITEB_clean,3.37e-08,5.43e-09,6,2,9.631959223,2.158069665,909.4426955,6.560053202412615e-09,7.104759309436064e-10,1447070.559355724,156722.6318257955,0.5018986207471314,0.9413158939888072
1136,ENITIF_clean,2.61e-08,5.69e-09,6,2,11.02674814,2.578279446,993.7760337,6.35570845808327e-09,9.719401273330454e-10,1401994.512812486,214398.5574999365,0.5239942582662358,0.922349814942347
1137,ENITOL_clean,3.96e-08,5.97e-09,6,2,8.914517635,1.764722913,1020.738531,8.007464639084674e-09,7.169256281873889e-10,1766352.4939157367,158145.35915898284,0.3990879092259812,0.9427239170279937
1138,ENIXUV_clean,4e-08,7.97e-09,6,2,2.96094257,0.361015997,1048.940067,2.7607567091190687e-09,2.0120750855517179e-10,608990.450540971,44384.00924011142,0.6745013404003244,0.9700241569378533
1139,EPECEJ_clean,2.55e-08,4.77e-09,6,2,8.128614361,0.920637575,908.5333302,4.184899676009497e-09,2.6598471517119677e-10,923139.6344138595,58673.09893482282,0.6184101993973591,0.9707084932558275
1140,EPECOT_clean,3.9e-09,1.37e-09,6,2,5.12171555,0.935600756,1269.754755,5.636212983587281e-10,1.0850249379575035e-10,124328.22757913121,23934.373631415518,0.7388965061814848,0.9349628091866957
1141,EPEWAY_clean,2.07e-08,7.44e-09,6,2,6.372887822,0.130079267,1270.937349,3.7257889308248494e-09,8.200000898537821e-11,821865.2053290108,18088.23727618637,0.6326638731484538,0.9898826949119673
1142,EPEWEC_clean,2.05e-08,7.61e-09,6,2,6.413028159,0.132988313,1271.903481,3.7158540711834224e-09,8.58145699722469e-11,819673.6921728137,18929.68455270152,0.6332122055839314,0.9894017356754805
1143,EPEXUU_clean,1.1e-08,4.97e-09,6,2,6.775227835,0.234080552,1213.639614,2.0099896408610223e-09,9.41282980631806e-11,443380.06783699023,20763.59516099572,0.696983203187787,0.9813985672197837
1144,EPEYAB_clean,8.08e-09,4.15e-09,6,2,6.843749436,0.260184665,1245.696805,1.530753631059949e-09,8.967076696580372e-11,337666.242145577,19780.3162424567,0.7117226619503672,0.9776202319637155
1145,EPISOM_clean,8.38e-08,5.18e-09,6,2,10.07002903,2.689013712,677.6104416,1.2706979140969631e-08,6.292331681785397e-10,2803010.104625654,138801.43415703083,0.11290727779552298,0.9425576880592388
1146,EPONAA_clean,2.29e-07,5.62e-08,6,2,0.717305896,0.199699069,495.2217252,1.807702913305215e-09,3.7052778945806517e-10,398757.9955820327,81734.07120398496,0.7112358751572764,0.9266761155280137
1147,EPONEE_clean,2.3e-07,5.52e-08,6,2,0.72698416,0.201101664,492.8517191,1.831287564296177e-09,3.647369470038758e-10,403960.49212415674,80456.67948614908,0.7103521253655145,0.9284342568701918
1148,EPOPEG_clean,1.75e-08,6.47e-09,6,2,2.134645191,0.425807663,955.8692198,7.935050796053859e-10,1.755597571899909e-10,175037.88520707045,38726.417027203875,0.7346711772298748,0.925401044379829
1149,EPOTAF_clean,1.13e-07,2.19e-08,6,2,10.22192221,0.662668293,575.2370709,1.4765405128631785e-08,5.565393970516896e-10,3257074.6607275996,122766.04346728446,0.07126175588057462,0.9448131718160848
1150,EQERAU_clean,3.65e-08,7.58e-09,6,2,12.45271949,1.246244068,830.1815557,8.385281298222062e-09,5.228223333858904e-10,1849694.4040195725,115328.45589394642,0.36663137009429925,0.9569897758297918
1151,EQEREY_clean,8.38e-08,1.91e-08,6,2,2.598092115,0.631517207,1084.301555,5.246094752076989e-09,8.719214807055812e-10,1157226.7835463947,192335.62074387821,0.5863552158284608,0.9238781880734414
1152,EQERIC_clean,5.33e-08,1.53e-08,6,2,3.341125562,0.855516498,1083.5495,4.288014530737458e-09,9.455343631226442e-10,945885.5582509099,208573.75657117149,0.6365370882206031,0.9097529711709502
1153,EQETAX_clean,5.22e-08,1.32e-08,6,2,5.545282921,0.532017569,890.7693554,5.729898987937766e-09,4.170363533596524e-10,1263948.3061627424,91993.3132410998,0.5434969944281282,0.9620730365941583
1154,EQOXIT_clean,4.7e-08,1.02e-08,6,2,4.779536651,0.194058,1195.750891,5.969141218289313e-09,1.5779061795586104e-10,1316722.327563819,34806.7539608517,0.5208188386104909,0.9852150899682653
1155,ERALEQ_clean,2.05e-08,7.23e-09,6,2,14.16584896,2.724519522,977.8226539,6.310213433526267e-09,1.2840947104293207e-09,1391958.845630794,283256.1861241149,0.5378012844790542,0.9021320908563658
1156,ERALIU_clean,2.54e-08,1.05e-09,6,2,17.15802016,5.405913409,1028.035133,9.956262387665289e-09,3.8902282372854604e-10,2196234.3502202844,85813.85817541457,0.25281691990604704,0.966619279212512
1157,ERALUG_clean,1.97e-08,4.86e-09,6,2,7.928836148,1.579301689,1111.214798,3.857102425642798e-09,5.686016639727148e-10,850831.4174212054,125426.83764104004,0.6429661891578724,0.9380091038217173
1158,ERAMAN_clean,2.03e-08,1.04e-09,6,2,23.10370021,3.74484909,963.5491831,1.0042433215951907e-08,2.501786755174913e-10,2215242.621165862,55186.47254062308,0.24701472296069565,0.9780492546537357
1159,ERAMER_clean,3.99e-08,9.85e-09,6,2,11.59122895,1.614285281,685.9532928,7.049923610388051e-09,7.271429596401436e-10,1555130.2081738347,160399.1822735611,0.4691819065137096,0.9411094477784535
1160,ERAMOB_clean,2.5e-08,2.75e-09,6,2,12.43592338,2.380093093,863.34944,5.964748603336615e-09,3.7672287381472665e-10,1315753.3683830767,83100.63392971912,0.5282822294572276,0.9660375408871572
1161,ERAMUH_clean,1.39e-09,5.33e-10,6,2,17.2957333,4.638613789,907.7171485,4.849442413352571e-10,1.4961485113752522e-10,106972.99441218907,33003.275986218796,0.7419106752415585,0.9012220789714173
1162,ERANAO_clean,2.15e-10,2.42e-10,6,2,2.061439346,1.129695007,6444.191453,6.346948022421754e-11,1.17450197325513e-10,14000.620637695045,25908.131762980807,0.7512120515597159,0.6274663564084876
1163,ERANES_clean,9.98e-09,4.45e-09,6,2,14.84800339,2.036319292,804.1025027,2.6478751228055765e-09,4.857648002347359e-10,584090.1006188771,107154.00005177998,0.6871796471356078,0.9303454692559979
1164,EREFEN01_SL,2.33e-08,4.15e-09,6,2,7.548624345,0.582678585,1136.866326,4.443453334068564e-09,1.8327165319976597e-10,980173.5295739479,40427.570558771906,0.6035527406495618,0.9802050538737442
1165,EREGOY_clean,7.86e-08,1.58e-08,6,2,9.680005015,0.365652215,879.5481047,1.487117251253729e-08,3.387611773590126e-10,3280405.7012949903,74726.7302997822,0.07263178357018298,0.9654009713589058
1166,ERIRIG_auto,1.27e-07,2.41e-08,6,2,6.305710922,0.989397577,426.7991022,7.595366967795032e-09,6.784535561158116e-10,1675448.5958371395,149658.8726726055,0.42873479625042576,0.9452575012466279
1167,ERIWAF_clean,6.88e-08,8.89e-09,6,2,12.11575724,1.692053455,840.5308195,1.5569695877596843e-08,8.429042104021348e-10,3434491.737705186,185934.75229458857,0.06030054967775384,0.9170419796015471
1168,ERUFUS_clean,4.58e-09,1.24e-09,6,2,1.664529548,0.277168317,1508.960475,2.5563619071332e-10,3.457417891608903e-11,56390.33618676177,7626.657113843169,0.7447199468137821,0.9538561346268981
1169,ERULEK_clean,7.06e-08,1.58e-08,6,2,5.322750365,0.42181131,799.6109166,6.677393965605751e-09,3.5527345772648515e-10,1472954.551236563,78369.14508672467,0.4828980138932445,0.9690185751839083
1170,ERUNOW_clean,5.66e-08,1.33e-08,6,2,4.928004092,0.32361519,884.3043648,5.4812138422716655e-09,2.5374123486222207e-10,1209091.2887363967,55972.33121960781,0.552171705413164,0.9757785917640414
1171,ERUNUC_clean,1.08e-07,2.12e-08,6,2,3.845627294,0.505693807,612.9361677,5.657097734368516e-09,4.380740073836476e-10,1247889.2061107021,96633.9722169811,0.548416931752227,0.9600968040748603
1172,ESANET_clean,2.79e-08,7.57e-09,6,2,1.212175201,0.090979647,1802.299359,1.3545156044099575e-09,8.275148501260048e-11,298790.2068551377,18254.004046897164,0.7167142246816269,0.9769552611557359
1173,ESARIB_clean,1.04e-08,1.72e-09,6,2,2.799299387,1.300116269,1874.641459,1.212797776556539e-09,2.79471546543134e-10,267528.92129923654,61648.135266867794,0.7260696955930588,0.9210664713349611
