Unnamed: 0,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3),a_H2(mol/(mm^2 bar s)),a_N2(mol/(mm^2 bar s)),P_H2(Barrer),P_N2(Barrer),Pu_ret_0.7,Pu_perm_0.7,Ff_opt,Pf_opt,L_opt,D_opt,LCOH_opt
4930,UNABUH_clean,7.57E-09,7.59E-10,6,2,4.057882644,0.033627923,1548.915083,1.06E-09,2.64E-12,233234.5066,581.380574,0.722972771,0.999047496,0.541045327,29.96880412,597.6709678,336.1264586,4.790121828
4933,UNACIW_clean,7.74E-09,7.50E-10,6,2,4.150466512,0.035231891,1548.76187,1.11E-09,2.73E-12,243889.0799,601.82878,0.721625816,0.999053966,0.520657948,29.39276483,595.1704477,462.942915,4.535300373
4989,UXABOL_clean,2.79E-08,1.20E-08,6,2,3.438671559,0.005548935,1742.906202,3.72E-09,7.74E-12,819669.4482,1706.695275,0.630675039,0.999027779,0.515115016,15.3096064,597.7363913,387.5823702,2.183286618
5151,VIXGAM_clean,1.63E-08,7.04E-10,6,2,5.394711141,0.0207372,1931.102902,3.77E-09,1.88E-12,832398.0399,414.5904359,0.628004333,0.999766001,0.096463212,10,600,507.1076331,1.170218311
5152,VIXGAM01_clean,1.68E-08,6.74E-10,6,2,5.373654672,0.023971293,1932.355792,3.88E-09,2.08E-12,855137.5189,459.1235157,0.62352292,0.999745554,0.09900878,10,599.6166041,445.4177288,1.164372172
5153,VIXGEQ_clean,2.04E-08,9.49E-10,6,2,5.558877284,0.015425138,1939.225618,4.89E-09,1.89E-12,1077991.724,417.4598354,0.575529986,0.999799257,0.124557879,10,599.6986736,343.5533914,1.11464066
5347,WICGEV_clean,1.15E-08,1.63E-09,6,2,5.044441972,0.021817601,1611.949168,2.08E-09,3.82E-12,458386.8454,843.0183524,0.692131068,0.999244578,0.195589434,14.00879371,599.5887278,330.3856915,1.959836063
5352,WIHVAL_clean,1.00E-08,1.78E-09,6,2,5.058309497,0.021325811,1611.867369,1.81E-09,4.08E-12,399672.7461,899.7999174,0.700687469,0.999093165,0.566699978,29.80250945,599.0798411,382.8644787,2.997827902
5353,WIHVEP_clean,1.15E-08,2.02E-09,6,2,4.950015064,0.021774489,1609.922922,2.04E-09,4.72E-12,449240.8884,1041.347101,0.693513516,0.999051039,0.714931104,29.8435574,599.2821427,387.2195842,3.192745462
5422,WOQTUT_clean,2.01E-08,1.51E-08,6,2,6.33390237,0.003438875,1375.688757,3.89E-09,4.76E-12,858533.8892,1050.520695,0.622934032,0.999419686,0.150102878,10.01991659,599.0553937,565.5791133,1.255821637
5601,XEHSEJ_clean,1.01E-08,1.45E-09,6,2,6.81932504,0.036930969,1334.549892,2.04E-09,4.76E-12,450575.3329,1050.956176,0.693317507,0.999044706,0.738943114,29.95252611,599.4838854,400.0576567,3.254508129
5672,XOBXIW_clean,3.66E-09,9.34E-10,6,2,4.167190459,0.013207653,1893.512448,6.42E-10,1.56E-12,141567.1316,343.503984,0.734135176,0.999098079,0.278107375,29.77748775,597.326763,576.5520006,4.639484215
5765,YANBAR_clean,7.71E-09,1.27E-09,6,2,4.777534515,0.021812083,1763.846827,1.44E-09,3.26E-12,318484.9482,718.5430913,0.711893738,0.999114588,0.440858218,28.7138173,598.9811392,521.3141166,3.146736905
5767,YANBAR02_clean,9.31E-09,1.45E-09,6,2,4.878478914,0.02139253,1731.248779,1.75E-09,3.58E-12,385445.896,789.7337881,0.702689606,0.999178412,0.231592309,15.48481412,595.4569704,536.7249683,2.418715734
5855,YISFEL_clean,2.29E-08,2.64E-09,6,2,6.934112181,0.011382095,1768.46836,6.24E-09,3.54E-12,1376554.697,781.4739659,0.499525477,0.999664303,0.16802956,10.00198718,599.7867788,364.3200122,1.066076228
