Index,Adsorbent,N_0.75,N_2,H_0.25,H_6,N_wc,H_wc,N_sw,N_3p,H_3p,N_3p_sim,H_3p_sim,N2 Isotherm,N2 Opt method,qm_N2,b_N2,Error_N2,H2 Isotherm,H2 Opt method,qm_H2,b_H2,Error_H2,N_4p,H_4p,N_4p_sim,H_4p_sim,N2 Isotherm_2,N2 Opt method_2,par_N2_2,Error_N2_2,H2 Isotherm_2,H2 Opt method_2,par_H2_2,Error_H2_2,N_5p,H_5p,N_5p_sim,H_5p_sim,N2 Isotherm_3,N2 Opt method_3,par_N2_3,Error_N2_3,H2 Isotherm_3,H2 Opt method_3,par_H2_3,Error_H2_3,x_N2,x_H2,Recovery
4184,RAVXAP_clean,1.320779925,2.341439345,0.22468469,4.129867564,1.02065942,3.905182874,0.261360211,8,10.0,4.270798566,6.10451753,Lang,BFGS,5.55411,0.415993981,3.541019532,Lang,SLSQP,18.55972297,0.049011743,0.861418409,12.0,NaN,5.12999255,NaN,Freu,COBYLA,[1.53922987 0.48661986],2.509086952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4720032880438153,0.5279967119561847,0.6271235636624268
4185,RAVXET_clean,0.537381478,1.121006675,0.190183824,3.510405372,0.583625197,3.320221548,0.175778992,8,10.0,2.52789215,5.314054208,Lang,BFGS,4.098279394,0.20121567,1.595436408,Lang,SLSQP,17.18990453,0.044746737,1.441458115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17738439336455447,0.8226156066354455,-0.5458248440621145
4186,RAVXIX_clean,1.848623381,2.428874856,0.186960313,3.66051584,0.580251475,3.473555527,0.16704828,8,10.0,4.407571578,5.645128458,Freu,SLSQP,2.054511691,0.367062826,4.983475932,Lang,L-BFGS-B,22.45260745,0.033586998,1.113690498,12.0,NaN,5.480939844,NaN,Freu,trust-constr,[1.92533009 0.41922399],3.904083157,NaN,NaN,NaN,NaN,16.0,NaN,6.462804011,NaN,Pel,DiffEv,[0.64903785 0.74198231 1.32989415 0.01455285],0.0048689995444183,NaN,NaN,NaN,NaN,0.9979492179351417,0.002050782064858314,0.9993150011951171
4187,RAVXOD_clean,0.998767588,1.79963305,0.154624339,3.308045993,0.800865462,3.153421654,0.253967135,8,10.0,3.921096002,5.122003744,Freu,COBYLA,1.179386966,0.577851429,0.775670583,Lang,DiffEv,29.05771248,0.021399006,0.020007264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3992603522856144,0.6007396477143856,0.498456212614669
4196,RAYMAG_clean,0.53439418,1.058199372,0.453597285,7.280803762,0.523805192,6.827206477,0.076723209,8,10.0,2.389849651,9.701203616,Freu,COBYLA,0.641142477,0.632857482,1.992240067,Lang,COBYLA,20.32731711,0.09139591,0.510911804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09343183127184793,0.906568168728152,-2.2343301577468258
4197,RAYMOV_clean,0.361496593,0.907773194,0.294589184,6.484672614,0.546276601,6.19008343,0.088250281,8,10.0,3.18420089,10.42577674,Freu,COBYLA,0.470989873,0.919199488,0.35032095,Lang,SLSQP,88.3297524,0.013382798,0.46012259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11621783613999129,0.8837821638600087,-1.5348437417570473
4219,REHHET_clean,0.707782366,1.444593642,1.848684322,10.91037667,0.736811276,9.061692348,0.08131056,8,10.0,3.001083428,12.92704213,Lang,Powell,4.514164317,0.247928211,1.303878168,Lang,CG,15.27397138,0.550806634,4.250000052,NaN,15.0,NaN,14.3929612,NaN,NaN,NaN,NaN,Sips,CG,[20.95368296  0.27839783  0.76229902],0.090545808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007812500000000002,0.9921875,-41.33333333333332
4223,REHJAR_clean,0.871810688,1.718146705,2.630945117,10.73899757,0.846336017,8.108052453,0.104382159,8,10.0,3.248072179,12.33897695,Lang,SLSQP,4.523558111,0.318316344,1.007560495,Freu,COBYLA,4.702609534,0.419039918,4.611555928,NaN,4.5,NaN,9.845573267,NaN,NaN,NaN,NaN,Quad,COBYLA,[9.11997082 1.54142141 0.10075366],1.380379952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008000000000000002,0.992,-40.33333333333332
4228,REJLEY_clean,0.557915757,1.141751664,0.933715115,5.794815631,0.583835907,4.861100516,0.120103648,8,10.0,2.518433151,6.695282966,Lang,SLSQP,3.956798344,0.218862356,1.852968032,Lang,SLSQP,7.953722762,0.532030095,2.621732842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03960107139553079,0.9603989286044692,-7.083947350919869
4229,REJLIC_clean,0.734047334,1.395349133,0.543822798,5.385914325,0.661301799,4.842091527,0.136573585,8,10.0,2.635773503,6.7266446,Lang,BFGS,3.600821086,0.341404606,1.994728276,Lang,L-BFGS-B,9.49447397,0.243029722,2.298609568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07535580595759006,0.9246441940424099,-3.0901258692784994
4241,REWLEM_clean_h,1.738179999,2.493700162,0.378472809,6.63958001,0.755520163,6.261107201,0.120668779,8,10.0,4.126420616,9.529904205,Freu,COBYLA,1.93076651,0.365344471,0.158836529,Lang,SLSQP,25.07852806,0.061290785,0.651508479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5704176519427947,0.4295823480572053,0.7489661907702869
4242,REWNEO_clean,1.315027353,2.175196086,0.47117652,9.177689942,0.860168733,8.706513422,0.098796004,8,10.0,4.431386871,13.53725256,Freu,Powell,1.524248165,0.513220211,0.004820374,Lang,SLSQP,46.86836889,0.04061452,0.025025609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23036537823648628,0.7696346217635137,-0.11364336032218292
4243,REWNEO01_clean,1.211175175,2.149344976,0.489419365,9.630783758,0.938169801,9.141364393,0.102629078,8,10.0,4.555504883,14.03498284,Freu,COBYLA,1.422804884,0.559730658,0.90027432,Lang,COBYLA,48.34002904,0.041012299,0.375351482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18370658276320773,0.8162934172367923,-0.48115435850398103
4260,REYMOZ_clean,0.879967579,1.942022424,1.221539181,13.04511953,1.062054845,11.82358035,0.089825147,8,10.0,4.458347193,17.12362513,Lang,SLSQP,7.695729378,0.17214343,0.466925032,Lang,trust-constr,25.70335579,0.199582345,3.491129511,NaN,15.0,NaN,19.37393989,NaN,NaN,NaN,NaN,Sips,trust-constr,[26.4502026   0.18982562  0.98551831],2.391250142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033853960659292304,0.9661460393407078,-8.512880428418628
4262,REYPIW_clean,0.634578334,1.272434382,0.977006158,5.959391898,0.637856048,4.98238574,0.128022213,8,10.0,2.622431807,6.856057902,Lang,SLSQP,3.879664152,0.260731386,1.663434338,Lang,CG,8.106892218,0.548118788,2.525967678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03966009069454862,0.9603399093054514,-7.071421358242571
4268,REZXUQ_clean,0.500136593,1.171389876,0.376925955,7.28803878,0.671253283,6.911112825,0.097126657,8,10.0,3.780486687,11.25466205,Freu,COBYLA,0.639517728,0.854630517,0.26374361,Lang,SLSQP,43.307897,0.035112368,1.317034135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11797264919806018,0.8820273508019398,-1.4921803395325832
4272,RICBEM_clean,0.340501185,0.870196712,0.206237471,4.737559193,0.529695527,4.531321722,0.116896473,8,10.0,3.114627278,7.842330902,Lang,SLSQP,19.81627404,0.023310768,0.260462946,Freu,CG,0.809401344,0.986281242,0.007032261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15106013535061957,0.8489398646493804,-0.8732934021693644
4273,RIFDUG01_clean,0.933924514,1.926838879,1.269097037,13.18388514,0.992914365,11.9147881,0.083334622,8,10.0,4.55008154,16.71107491,Freu,COBYLA,1.132174422,0.669039612,2.022388208,Lang,CG,24.28907915,0.220520814,2.429667805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07576672747405788,0.9242332725259421,-3.0661351991760704
4274,RIFGAQ_clean,0.883493636,1.999437095,1.235793234,13.51009409,1.115943459,12.27430086,0.090917069,8,10.0,4.453474647,17.11301144,Lang,COBYLA,7.652093722,0.174138748,0.369245585,Lang,CG,25.52015239,0.203553194,1.895702412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03252617590512184,0.9674738240948781,-8.914822930275998
4312,ROKRIU_clean,2.449498504,3.043975232,6.519030568,11.54472076,0.594476728,5.025690192,0.118287579,8,3.0,3.987364455,10.7321095,Freu,COBYLA,2.598974452,0.205939303,1.735598221,Lang,trust-constr,11.94510293,4.805708538,5.03402129,NaN,4.5,NaN,11.22885792,NaN,NaN,NaN,NaN,Sips,trust-constr,[13.8378876   1.89609148  0.54499475],0.034600345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3983993847923012,0.6016006152076988,0.4966519877857968
4313,ROMMAJ_clean,1.004992644,2.237095115,2.780542873,15.37574949,1.232102471,12.59520662,0.097823125,8,10.0,4.682878224,17.32249521,Lang,COBYLA,7.535808181,0.205278765,0.686466863,Lang,SLSQP,20.00518968,0.645712525,2.085174672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011562500000000003,0.9884375,-27.495495495495486
4326,RORVAX_clean,1.204623447,2.410306983,1.634201919,15.80837578,1.205683536,14.17417386,0.085061997,8,10.0,5.094481959,18.80920925,Lang,SLSQP,7.649931131,0.249197459,1.991960336,Lang,CG,25.74772381,0.271084146,0.458220265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026375000000000003,0.973625,-11.304897314375987
4333,RUBDUP_clean,0.339565029,0.862562821,0.175384552,3.619293906,0.522997792,3.443909354,0.15186166,8,10.0,2.851686381,5.85019598,Lang,SLSQP,12.15118353,0.038330947,0.060714071,Freu,COBYLA,0.655344565,0.950820731,0.192819233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17729382460301454,0.8227061753969854,-0.546784793057774
4338,RUBTAK04_clean,0.655566527,1.416462101,16.21087212,17.91453147,0.760895574,1.70365935,0.446624247,8,0.1,2.919556197,13.81102618,Lang,COBYLA,4.542328104,0.224990361,0.17433853,Lang,COBYLA,18.00530151,32.92904462,2.192475879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001157857059676438,0.9988421429403236,-286.554822244768
4339,RUBTAK05_clean,0.609302306,1.338493091,16.13046555,17.91623153,0.729190785,1.78576598,0.408335019,8,3.0,2.895579075,17.78192696,Lang,COBYLA,4.732652046,0.197125135,0.01725596,Lang,SLSQP,18.002886,34.45906143,1.567388546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0007954524859022393,0.9992045475140977,-417.71537069485396
